epoch,avg_loss,best_loss,best_epoch,is_best
1,0.01444694,0.01444694,1,1
2,0.01223258,0.01223258,2,1
3,0.01027963,0.01027963,3,1
4,0.00872977,0.00872977,4,1
5,0.00767925,0.00767925,5,1
6,0.00725768,0.00725768,6,1
7,0.00678647,0.00678647,7,1
8,0.00665695,0.00665695,8,1
9,0.00643210,0.00643210,9,1
10,0.00611083,0.00611083,10,1
11,0.00600649,0.00600649,11,1
12,0.00573031,0.00573031,12,1
13,0.00558038,0.00558038,13,1
14,0.00552415,0.00552415,14,1
15,0.00538602,0.00538602,15,1
16,0.00535033,0.00535033,16,1
17,0.00531059,0.00531059,17,1
18,0.00519685,0.00519685,18,1
19,0.00511724,0.00511724,19,1
20,0.00521511,0.00511724,19,0
21,0.00499809,0.00499809,21,1
22,0.00466723,0.00466723,22,1
23,0.00469652,0.00466723,22,0
24,0.00456183,0.00456183,24,1
25,0.00463534,0.00456183,24,0
26,0.00457178,0.00456183,24,0
27,0.00439683,0.00439683,27,1
28,0.00509029,0.00439683,27,0
29,0.00458668,0.00439683,27,0
30,0.00433232,0.00433232,30,1
31,0.00426788,0.00426788,31,1
32,0.00413850,0.00413850,32,1
33,0.00421547,0.00413850,32,0
34,0.00431258,0.00413850,32,0
35,0.00405837,0.00405837,35,1
36,0.00381788,0.00381788,36,1
37,0.00402526,0.00381788,36,0
38,0.00404511,0.00381788,36,0
39,0.00379581,0.00379581,39,1
40,0.00360049,0.00360049,40,1
41,0.00360240,0.00360049,40,0
42,0.00347829,0.00347829,42,1
43,0.00348846,0.00347829,42,0
44,0.00342915,0.00342915,44,1
45,0.00331755,0.00331755,45,1
46,0.00323074,0.00323074,46,1
47,0.00333493,0.00323074,46,0
48,0.00316907,0.00316907,48,1
49,0.00308247,0.00308247,49,1
50,0.00290475,0.00290475,50,1
51,0.00309051,0.00290475,50,0
52,0.00319770,0.00290475,50,0
53,0.00289552,0.00289552,53,1
54,0.00270854,0.00270854,54,1
55,0.00290631,0.00270854,54,0
56,0.00294484,0.00270854,54,0
57,0.00274011,0.00270854,54,0
58,0.00262012,0.00262012,58,1
59,0.00265164,0.00262012,58,0
60,0.00257226,0.00257226,60,1
61,0.00246997,0.00246997,61,1
62,0.00247159,0.00246997,61,0
63,0.00238533,0.00238533,63,1
64,0.00244449,0.00238533,63,0
65,0.00253204,0.00238533,63,0
66,0.00243835,0.00238533,63,0
67,0.00240828,0.00238533,63,0
68,0.00233087,0.00233087,68,1
69,0.00234842,0.00233087,68,0
70,0.00215689,0.00215689,70,1
71,0.00220184,0.00215689,70,0
72,0.00239223,0.00215689,70,0
73,0.00232286,0.00215689,70,0
74,0.00220928,0.00215689,70,0
75,0.00224037,0.00215689,70,0
76,0.00208008,0.00208008,76,1
77,0.00202728,0.00202728,77,1
78,0.00225918,0.00202728,77,0
79,0.00227885,0.00202728,77,0
80,0.00219031,0.00202728,77,0
81,0.00209763,0.00202728,77,0
82,0.00202392,0.00202392,82,1
83,0.00197804,0.00197804,83,1
84,0.00198065,0.00197804,83,0
85,0.00215747,0.00197804,83,0
86,0.00218606,0.00197804,83,0
87,0.00202974,0.00197804,83,0
88,0.00199122,0.00197804,83,0
89,0.00194585,0.00194585,89,1
90,0.00197505,0.00194585,89,0
91,0.00203494,0.00194585,89,0
92,0.00197937,0.00194585,89,0
93,0.00190480,0.00190480,93,1
94,0.00194453,0.00190480,93,0
95,0.00196327,0.00190480,93,0
96,0.00192398,0.00190480,93,0
97,0.00205409,0.00190480,93,0
98,0.00214269,0.00190480,93,0
99,0.00211938,0.00190480,93,0
100,0.00196098,0.00190480,93,0
101,0.00176321,0.00176321,101,1
102,0.00177514,0.00176321,101,0
103,0.00178646,0.00176321,101,0
104,0.00181632,0.00176321,101,0
105,0.00190840,0.00176321,101,0
106,0.00191176,0.00176321,101,0
107,0.00178699,0.00176321,101,0
108,0.00174789,0.00174789,108,1
109,0.00172005,0.00172005,109,1
110,0.00179933,0.00172005,109,0
111,0.00203544,0.00172005,109,0
112,0.00207579,0.00172005,109,0
113,0.00208094,0.00172005,109,0
114,0.00202379,0.00172005,109,0
115,0.00182203,0.00172005,109,0
116,0.00175529,0.00172005,109,0
117,0.00170146,0.00170146,117,1
118,0.00171570,0.00170146,117,0
